Player,Team,Position,Salary,Years,Total Value,Average Annual
"Crawford, Brandon",San Francisco,SS,"$16,000,000 ",2 (2022-23),"$32,000,000 ","$16,000,000 "
"Kikuchi, Yusei",Toronto,LHP,"$16,000,000 ",3 (2022-24),"$36,000,000 ","$12,000,000 "
"McCullers Jr., Lance",Houston,RHP,"$15,950,000 ",5 (2022-26),"$85,000,000 ","$17,000,000 "
"Marte, Starling",N.Y. Mets,OF,"$15,750,000 ",4 (2022-25),"$78,000,000 ","$19,500,000 "
"Nola, Aaron",Philadelphia,RHP,"$15,500,000 ",4 (2019-22),"$45,000,000 ","$11,250,000 "
"Gregorius, Didi",Philadelphia,SS,"$15,013,985 ",2 (2021-22),"$28,000,000 ","$14,000,000 "
"Gray, Jon",Texas,RHP,"$15,000,000 ",4 (2022-25),"$56,000,000 ","$14,000,000 "
"LeMahieu, DJ",N.Y. Yankees,2B,"$15,000,000 ",6 (2021-26),"$90,000,000 ","$15,000,000 "
"Taylor, Chris",L.A. Dodgers,OF,"$15,000,000 ",4 (2022-25),"$60,000,000 ","$15,000,000 "
"Acuna Jr., Ronald",Atlanta,OF,"$15,000,000 ",8 (2019-26),"$100,000,000 ","$12,500,000 "
"Olson, Matt",Atlanta,1B,"$15,000,000 ",8 (2022-29),"$168,000,000 ","$21,000,000 "
"Hendricks, Kyle",Chi. Cubs,RHP,"$14,500,000 ",4 (2020-23),"$55,500,000 ","$13,875,000 "
"Segura, Jean",Philadelphia,SS,"$14,250,000 ",5 (2018-22),"$70,000,000 ","$14,000,000 "
"Rodriguez, Eduardo",Detroit,LHP,"$14,000,000 ",5 (2022-26),"$77,000,000 ","$15,400,000 "
"Britton, Zack",N.Y. Yankees,LHP,"$14,000,000 ",,$0 ,$0 
"Andrus, Elvis",Oakland,SS,"$14,000,000 ",8 (2015-22),"$120,000,000 ","$15,000,000 "
"Moncada, Yoan",Chic. White Sox,3B,"$13,800,000 ",5 (2020-24),"$70,000,000 ","$14,000,000 "
"Hendriks, Liam",Chic. White Sox,RHP,"$13,333,333 ",3 (2021-23),"$54,000,000 ","$18,000,000 "
"Smith, Will",Atlanta,LHP,"$13,000,000 ",3 (2020-22),"$40,000,000 ","$13,333,333 "
"Canha, Mark",N.Y. Mets,OF,"$13,000,000 ",2 (2022-23),"$26,500,000 ","$13,250,000 "
"Bregman, Alex",Houston,3B,"$13,000,000 ",5 (2020-24),"$100,000,000 ","$20,000,000 "
"Greinke, Zack",Kansas City,RHP,"$13,000,000 ",,$0 ,$0 
"Muncy, Max",L.A. Dodgers,1B,"$13,000,000 ",3 (2020-22),"$26,000,000 ","$8,666,667 "
"Wood, Alex",San Francisco,LHP,"$12,500,000 ",2 (2022-23),"$25,000,000 ","$12,500,000 "
"Snell, Blake",San Diego,LHP,"$12,500,000 ",5 (2019-23),"$50,000,000 ","$10,000,000 "
"Chapman, Matt",Toronto,3B,"$12,500,000 ",2 (2022-23),"$25,000,000 ","$12,500,000 "
"Kiermaier, Kevin",Tampa Bay,OF,"$12,166,667 ",6 (2017-22),"$53,500,000 ","$8,916,667 "
"Cruz, Nelson",Washington,DH,"$12,000,000 ",,$0 ,$0 
"DeSclafani, Anthony",San Francisco,RHP,"$12,000,000 ",3 (2022-24),"$36,000,000 ","$12,000,000 "
"Carrasco, Carlos",N.Y. Mets,RHP,"$12,000,000 ",4 (2019-22),"$47,000,000 ","$11,750,000 "
"Garcia, Avisail",Miami,OF,"$12,000,000 ",4 (2022-25),"$53,000,000 ","$13,250,000 "
"Soler, Jorge",Miami,DH,"$12,000,000 ",3 (2022-24),"$36,000,000 ","$12,000,000 "
"Severino, Luis",N.Y. Yankees,RHP,"$11,500,000 ",4 (2019-22),"$40,000,000 ","$10,000,000 "
"Marquez, German",Colorado,RHP,"$11,300,000 ",5 (2019-23),"$43,000,000 ","$8,600,000 "
"Devers, Rafael",Boston,3B,"$11,200,000 ",,$0 ,$0 
"Hader, Josh",Milwaukee,LHP,"$11,000,000 ",,$0 ,$0 
"Suarez, Eugenio",Seattle,3B,"$11,000,000 ",7 (2018-24),"$66,000,000 ","$9,428,571 "
"Berrios, Jose",Toronto,RHP,"$11,000,000 ",7 (2022-28),"$131,000,000 ","$18,714,286 "
"Hicks, Aaron",N.Y. Yankees,OF,"$10,785,714 ",7 (2019-25),"$70,000,000 ","$10,000,000 "
"Gray, Sonny",Minnesota,RHP,"$10,700,000 ",3 (2020-22),"$30,500,000 ","$10,166,667 "
"Hernandez, Teoscar",Toronto,OF,"$10,650,000 ",,$0 ,$0 
"Sano, Miguel",Minnesota,1B,"$10,583,333 ",3 (2020-22),"$30,000,000 ","$10,000,000 "
"Santana, Carlos",Kansas City,DH,"$10,500,000 ",2 (2021-22),"$17,500,000 ","$8,750,000 "
"Gallo, Joey",N.Y. Yankees,OF,"$10,275,000 ",,$0 ,$0 
"Diaz, Edwin",N.Y. Mets,RHP,"$10,200,000 ",,$0 ,$0 
"Escobar, Eduardo",N.Y. Mets,3B,"$10,000,000 ",2 (2022-23),"$20,000,000 ","$10,000,000 "
"Pressly, Ryan",Houston,RHP,"$10,000,000 ",,$0 ,$0 
"Iglesias, Raisel",L.A. Angels,RHP,"$10,000,000 ",4 (2022-25),"$58,000,000 ","$14,500,000 "
"Miley, Wade",Chi. Cubs,LHP,"$10,000,000 ",,$0 ,$0 
"Pollock, AJ",Chic. White Sox,OF,"$10,000,000 ",4 (2019-22),"$55,000,000 ","$13,750,000 "
"Minor, Mike",Cincinnati,LHP,"$10,000,000 ",2 (2021-22),"$18,000,000 ","$9,000,000 "
"Bell, Josh",Washington,1B,"$10,000,000 ",,$0 ,$0 
"Molina, Yadier",St. Louis,C,"$10,000,000 ",,$0 ,$0 
"Pomeranz, Drew",San Diego,LHP,"$10,000,000 ",4 (2020-23),"$34,000,000 ","$8,500,000 "
"Knebel, Corey",Philadelphia,RHP,"$10,000,000 ",,$0 ,$0 
"Manaea, Sean",San Diego,LHP,"$9,750,000 ",,$0 ,$0 
"Anderson, Tim",Chic. White Sox,SS,"$9,500,000 ",6 (2017-22),"$25,000,000 ","$4,166,667 "
"Grichuk, Randal",Colorado,OF,"$9,333,333 ",5 (2019-23),"$52,000,000 ","$10,400,000 "
"Duvall, Adam",Atlanta,OF,"$9,275,000 ",,$0 ,$0 
"Swanson, Dansby",Atlanta,SS,"$9,200,000 ",,$0 ,$0 
"Buxton, Byron",Minnesota,OF,"$9,142,857 ",7 (2022-28),"$100,000,000 ","$14,285,714 "
"Bradley Jr., Jackie",Boston,OF,"$9,139,485 ",2 (2021-22),"$24,000,000 ","$12,000,000 "
"Contreras, Willson",Chi. Cubs,C,"$9,000,000 ",,$0 ,$0 
"Rosario, Eddie",Atlanta,OF,"$9,000,000 ",2 (2022-23),"$18,000,000 ","$9,000,000 "
"Cobb, Alex",San Francisco,RHP,"$9,000,000 ",2 (2022-23),"$20,000,000 ","$10,000,000 "
"Musgrove, Joe",San Diego,RHP,"$8,625,000 ",,$0 ,$0 
"Matz, Steven",St. Louis,LHP,"$8,500,000 ",4 (2022-25),"$44,000,000 ","$11,000,000 "
"Sanchez, Gary",Minnesota,C,"$8,500,000 ",,$0 ,$0 
"Wong, Kolten",Milwaukee,2B,"$8,500,000 ",2 (2021-22),"$18,000,000 ","$9,000,000 "
"McCutchen, Andrew",Milwaukee,OF,"$8,500,000 ",,$0 ,$0 
"Heaney, Andrew",L.A. Dodgers,LHP,"$8,500,000 ",,$0 ,$0 
"Marte, Ketel",Arizona,2B,"$8,400,000 ",5 (2018-22),"$24,000,000 ","$4,800,000 "
"Bassitt, Chris",N.Y. Mets,RHP,"$8,300,000 ",,$0 ,$0 
"McCann, James",N.Y. Mets,C,"$8,150,000 ",4 (2021-24),"$40,600,000 ","$10,150,000 "
"Barnes, Matt",Boston,RHP,"$8,125,000 ",2 (2021-22),"$18,750,000 ","$9,375,000 "
"Suzuki, Seiya",Chi. Cubs,INF,"$8,000,000 ",5 (2022-26),"$85,000,000 ","$17,000,000 "
"D'Arnaud, Travis",Atlanta,C,"$8,000,000 ",2 (2022-23),"$16,000,000 ","$8,000,000 "
"Graveman, Kendall",Chic. White Sox,RHP,"$8,000,000 ",3 (2022-24),"$24,000,000 ","$8,000,000 "
"Walker, Taijuan",N.Y. Mets,RHP,"$8,000,000 ",2 (2021-22),"$20,000,000 ","$10,000,000 "
"Treinen, Blake",L.A. Dodgers,RHP,"$8,000,000 ",2 (2021-22),"$17,500,000 ","$8,750,000 "
"Anderson, Tyler",L.A. Dodgers,LHP,"$8,000,000 ",,$0 ,$0 
"Urias, Julio",L.A. Dodgers,LHP,"$8,000,000 ",,$0 ,$0 
"Neris, Hector",Houston,RHP,"$8,000,000 ",2 (2022-23),"$17,000,000 ","$8,500,000 "
"Gurriel, Yulieski",Houston,1B,"$8,000,000 ",,$0 ,$0 
"Odorizzi, Jake",Houston,RHP,"$8,000,000 ",,$0 ,$0 
"Harris, Will",Washington,RHP,"$8,000,000 ",3 (2020-22),"$24,000,000 ","$8,000,000 "
"Kluber, Corey",Tampa Bay,RHP,"$8,000,000 ",,$0 ,$0 
"Clevinger, Mike",San Diego,RHP,"$8,000,000 ",2 (2021-22),"$11,500,000 ","$5,750,000 "
"Guerrero Jr., Vladimir",Toronto,1B,"$7,900,000 ",,$0 ,$0 
"Ahmed, Nick",Arizona,SS,"$7,875,000 ",4 (2020-23),"$32,500,000 ","$8,125,000 "
"May, Trevor",N.Y. Mets,RHP,"$7,750,000 ",2 (2021-22),"$15,500,000 ","$7,750,000 "
"Haniger, Mitch",Seattle,OF,"$7,750,000 ",,$0 ,$0 
"Hoskins, Rhys",Philadelphia,1B,"$7,700,000 ",,$0 ,$0 
"Renfroe, Hunter",Milwaukee,OF,"$7,650,000 ",,$0 ,$0 
"Hernandez, Kike",Boston,OF,"$7,624,090 ",2 (2021-22),"$14,000,000 ","$7,000,000 "
"Mancini, Trey",Baltimore,OF,"$7,500,000 ",,$0 ,$0 
"Peralta, David",Arizona,OF,"$7,500,000 ",5 (2018-22),"$22,000,000 ","$4,400,000 "
"Barnhart, Tucker",Detroit,C,"$7,500,000 ",,$0 ,$0 
"Schoop, Jonathan",Detroit,2B,"$7,500,000 ",,$0 ,$0 
"Loup, Aaron",L.A. Angels,LHP,"$7,500,000 ",2 (2022-23),"$17,000,000 ","$8,500,000 "
"Giolito, Lucas",Chic. White Sox,RHP,"$7,450,000 ",,$0 ,$0 
"Alonso, Pete",N.Y. Mets,1B,"$7,400,000 ",,$0 ,$0 
"Castillo, Luis",Cincinnati,RHP,"$7,350,000 ",,$0 ,$0 
"Jimenez, Eloy",Chic. White Sox,OF,"$7,333,333 ",6 (2019-24),"$43,000,000 ","$7,166,667 "
"Aguilar, Jesus",Miami,1B,"$7,300,000 ",,$0 ,$0 
"Benintendi, Andrew",Kansas City,OF,"$7,300,000 ",,$0 ,$0 
"Rogers, Taylor",San Diego,LHP,"$7,300,000 ",,$0 ,$0 
"Buehler, Walker",L.A. Dodgers,RHP,"$7,250,000 ",2 (2021-22),"$8,000,000 ","$4,000,000 "
"Piscotty, Stephen",Oakland,OF,"$7,250,000 ",6 (2017-22),"$33,500,000 ","$5,583,333 "
"Senzatela, Antonio",Colorado,RHP,"$7,250,000 ",5 (2022-26),"$50,500,000 ","$10,100,000 "
"Oberg, Scott",Colorado,RHP,"$7,000,000 ",3 (2020-22),"$13,000,000 ","$4,333,333 "
"Cron, C.J.",Colorado,1B,"$7,000,000 ",2 (2022-23),"$14,500,000 ","$7,250,000 "
"Kelly, Joe",Chic. White Sox,RHP,"$7,000,000 ",2 (2022-23),"$17,000,000 ","$8,500,000 "
"Vazquez, Christian",Boston,C,"$7,000,000 ",,$0 ,$0 
"Wacha, Michael",Boston,RHP,"$7,000,000 ",,$0 ,$0 
"Nimmo, Brandon",N.Y. Mets,OF,"$7,000,000 ",,$0 ,$0 
"Tepera, Ryan",L.A. Angels,RHP,"$7,000,000 ",2 (2022-23),"$14,000,000 ","$7,000,000 "
"Gibson, Kyle",Philadelphia,RHP,"$7,000,000 ",3 (2020-22),"$28,000,000 ","$9,333,333 "
"Zunino, Mike",Tampa Bay,C,"$7,000,000 ",,$0 ,$0 
"Happ, Ian",Chi. Cubs,OF,"$6,850,000 ",,$0 ,$0 
"Woodruff, Brandon",Milwaukee,RHP,"$6,800,000 ",,$0 ,$0 
"Kepler, Max",Minnesota,OF,"$6,750,000 ",5 (2019-23),"$35,000,000 ","$7,000,000 "
"Lorenzen, Michael",L.A. Angels,RHP,"$6,750,000 ",,$0 ,$0 
"Frazier, Adam",Seattle,2B,"$6,700,000 ",,$0 ,$0 
"Fried, Max",Atlanta,LHP,"$6,600,000 ",,$0 ,$0 
"Urshela, Giovanny",Minnesota,3B,"$6,550,000 ",,$0 ,$0 
"Burnes, Corbin",Milwaukee,RHP,"$6,500,000 ",,$0 ,$0 
"Chafin, Andrew",Detroit,LHP,"$6,500,000 ",2 (2022-23),"$13,000,000 ","$6,500,000 "
"Profar, Jurickson",San Diego,OF,"$6,500,000 ",3 (2021-23),"$21,000,000 ","$7,000,000 "
"Freeland, Kyle",Colorado,LHP,"$6,425,000 ",,$0 ,$0 
"Torres, Gleyber",N.Y. Yankees,SS,"$6,250,000 ",,$0 ,$0 
"DeJong, Paul",St. Louis,SS,"$6,166,667 ",6 (2018-23),"$26,000,000 ","$4,333,333 "
"Miller, Brad",Texas,1B,"$6,000,000 ",2 (2022-23),"$10,000,000 ","$5,000,000 "
"Kim, Ha-Seong",San Diego,SS,"$6,000,000 ",4 (2021-24),"$28,000,000 ","$7,000,000 "
"Martinez, Nick",San Diego,RHP,"$6,000,000 ",4 (2022-25),"$20,000,000 ","$5,000,000 "
"Suarez, Robert",San Diego,RHP,"$6,000,000 ",,$0 ,$0 
"Pederson, Joc",San Francisco,OF,"$6,000,000 ",,$0 ,$0 
"Familia, Jeurys",Philadelphia,RHP,"$6,000,000 ",,$0 ,$0 
"Hand, Brad",Philadelphia,LHP,"$6,000,000 ",,$0 ,$0 
"Montgomery, Jordan",N.Y. Yankees,LHP,"$6,000,000 ",,$0 ,$0 
"Hudson, Daniel",L.A. Dodgers,RHP,"$6,000,000 ",,$0 ,$0 
"Bieber, Shane",Cleveland,RHP,"$6,000,000 ",,$0 ,$0 
"Robert, Luis",Chic. White Sox,OF,"$6,000,000 ",6 (2020-25),"$50,000,000 ","$8,333,333 "
"Pham, Tommy",Cincinnati,OF,"$6,000,000 ",,$0 ,$0 
"Melancon, Mark",Arizona,RHP,"$6,000,000 ",2 (2022-23),"$14,000,000 ","$7,000,000 "
"Gomes, Yan",Chi. Cubs,C,"$6,000,000 ",2 (2022-23),"$13,000,000 ","$6,500,000 "
"Paxton, James",Boston,LHP,"$6,000,000 ",,$0 ,$0 
"Lyles, Jordan",Baltimore,RHP,"$6,000,000 ",,$0 ,$0 
"Candelario, Jeimer",Detroit,3B,"$5,800,000 ",,$0 ,$0 
"Taillon, Jameson",N.Y. Yankees,RHP,"$5,800,000 ",,$0 ,$0 
"Baez, Pedro",Houston,RHP,"$5,750,000 ",,$0 ,$0 
"Tatis Jr., Fernando",San Diego,SS,"$5,714,286 ",14 (2021-34),"$340,000,000 ","$24,285,714 "
"Gonzales, Marco",Seattle,LHP,"$5,700,000 ",4 (2021-24),"$30,000,000 ","$7,500,000 "
"Margot, Manuel",Tampa Bay,OF,"$5,600,000 ",,$0 ,$0 
"Ohtani, Shohei",L.A. Angels,RHP/OF,"$5,500,000 ",2 (2021-22),"$8,500,000 ","$4,250,000 "
"Garcia, Leury",Chic. White Sox,OF,"$5,500,000 ",3 (2022-24),"$16,500,000 ","$5,500,000 "
"Voit, Luke",San Diego,DH,"$5,450,000 ",,$0 ,$0 
"Winker, Jesse",Seattle,OF,"$5,400,000 ",,$0 ,$0 
"Giles, Ken",Seattle,RHP,"$5,250,000 ",2 (2021-22),"$7,000,000 ","$3,500,000 "
"Leclerc, Jose",Texas,RHP,"$5,250,000 ",4 (2019-22),"$14,750,000 ","$3,687,500 "
"La Stella, Tommy",San Francisco,2B,"$5,250,000 ",3 (2021-23),"$18,750,000 ","$6,250,000 "
"Kelly, Merrill",Arizona,RHP,"$5,250,000 ",,$0 ,$0 
"Mahle, Tyler",Cincinnati,RHP,"$5,200,000 ",,$0 ,$0 
"Boyd, Matt",San Francisco,LHP,"$5,200,000 ",,$0 ,$0 
"Calhoun, Kole",Texas,OF,"$5,200,000 ",,$0 ,$0 
"Bader, Harrison",St. Louis,OF,"$5,200,000 ",2 (2022-23),"$10,400,000 ","$5,200,000 "
"Eflin, Zach",Philadelphia,RHP,"$5,150,000 ",,$0 ,$0 
"Glasnow, Tyler",Tampa Bay,RHP,"$5,100,000 ",,$0 ,$0 
"Montas, Franky",Oakland,RHP,"$5,025,000 ",,$0 ,$0 
"Polanco, Jorge",Minnesota,2B,"$5,000,000 ",5 (2019-23),"$25,750,000 ","$5,150,000 "
"Narvaez, Omar",Milwaukee,C,"$5,000,000 ",,$0 ,$0 
"Rojas, Miguel",Miami,SS,"$5,000,000 ",2 (2022-23),"$10,000,000 ","$5,000,000 "
"Maldonado, Martin",Houston,C,"$5,000,000 ",,$0 ,$0 
"Grossman, Robbie",Detroit,OF,"$5,000,000 ",2 (2021-22),"$10,000,000 ","$5,000,000 "
"McMahon, Ryan",Colorado,3B,"$5,000,000 ",5 (2019-23),"$43,000,000 ","$8,600,000 "
"Iglesias, Jose",Colorado,SS,"$5,000,000 ",,$0 ,$0 
"Albies, Ozzie",Atlanta,2B,"$5,000,000 ",7 (2019-25),"$35,000,000 ","$5,000,000 "
"Hill, Richard",Boston,LHP,"$5,000,000 ",,$0 ,$0 
"Dickerson, Corey",St. Louis,OF,"$5,000,000 ",,$0 ,$0 
"Flaherty, Jack",St. Louis,RHP,"$5,000,000 ",,$0 ,$0 
"Perez, Roberto",Pittsburgh,C,"$5,000,000 ",,$0 ,$0 
"Rosario, Amed",Cleveland,SS,"$4,950,000 ",,$0 ,$0 
"Fulmer, Michael",Detroit,RHP,"$4,950,000 ",,$0 ,$0 
"Gurriel Jr., Lourdes",Toronto,OF,"$4,928,571 ",7 (2017-23),"$22,000,000 ","$3,142,857 "
"Crawford, J.P.",Seattle,SS,"$4,850,000 ",,$0 ,$0 
"Keller, Brad",Kansas City,RHP,"$4,825,000 ",,$0 ,$0 
"Lamet, Dinelson",San Diego,RHP,"$4,775,000 ",,$0 ,$0 
"Dozier, Hunter",Kansas City,3B,"$4,750,000 ",4 (2021-24),"$25,000,000 ","$6,250,000 "
"Castro, Jason",Houston,C,"$4,750,000 ",2 (2021-22),"$7,000,000 ","$3,500,000 "
"Kiner-Falefa, Isiah",N.Y. Yankees,SS,"$4,700,000 ",,$0 ,$0 
"Adames, Willy",Milwaukee,SS,"$4,600,000 ",,$0 ,$0 
"Reyes, Franmil",Cleveland,DH,"$4,550,000 ",,$0 ,$0 
"Solano, Donovan",Cincinnati,2B,"$4,500,000 ",,$0 ,$0 
"Villar, Jonathan",Chi. Cubs,3B,"$4,500,000 ",,$0 ,$0 
"Kennedy, Ian",Arizona,RHP,"$4,500,000 ",,$0 ,$0 
"Taylor, Michael",Kansas City,OF,"$4,500,000 ",2 (2022-23),"$9,000,000 ","$4,500,000 "
"Richards, Garrett",Texas,RHP,"$4,500,000 ",,$0 ,$0 
